"","intercept_1","slope_1","intercept_2","slope_2","intercept_3","slope_3","intercept_4","slope_4","intercept_5","slope_5","intercept_6","slope_6","intercept_7","slope_7","intercept_8","slope_8","intercept_9","slope_9","intercept_10","slope_10","intercept_11","slope_11","intercept_12","slope_12","intercept_13","slope_13","intercept_14","slope_14","intercept_15","slope_15","intercept_16","slope_16","intercept_17","slope_17","intercept_18","slope_18","intercept_19","slope_19","intercept_20","slope_20"
"29",0.21800626,0.20099427,0.22955575,0.22419407,0.28309117,0.26597016,0.41641263,0.32971128,0.17101014,0.15464885,0.18247191,0.1544136,0.23885276,0.19642654,0.51842116,0.27474611,0.14144227,0.12373005,0.15814746,0.13259754,0.23677893,0.16565566,0.50344588,0.25489936,0.17168405,0.15240835,0.18219893,0.16587129,0.2342741,0.19802631,0.33382612,0.20903533,0.22460126,0.20903533,0.27743566,0.29773986,0.30407828,0.3390225,0.39910975,0.37611229
"30",0.25818626,0.24381586,0.22671485,0.22816894,0.26577579,0.27078274,0.62897396,0.51075355,0.16131598,0.14828274,0.18927044,0.16964171,0.22297998,0.19457926,0.42672693,0.26309786,0.14425816,0.1253511,0.15701487,0.13154092,0.27198162,0.18061435,0.52947353,0.25675864,0.15128608,0.13954609,0.19003817,0.1707387,0.20346882,0.17296313,0.27391767,0.25280387,0.26139283,0.25280387,0.22060328,0.22248391,0.33620208,0.37523633,1.4441551,1.2916745
"31",0.23873044,0.21978121,0.27909635,0.29673624,0.33701505,0.3467259,0.53382027,0.44012312,0.15684761,0.14344131,0.1647064,0.14837562,0.19544585,0.16825633,0.47036297,0.32051431,0.14166402,0.1234037,0.1864431,0.14488239,0.20101804,0.15092206,0.31744292,0.19649631,0.16625927,0.15410519,0.1785241,0.15402971,0.2185097,0.17731554,0.80494705,0.2328745,0.24080779,0.2328745,0.37708963,0.46363495,0.28971497,0.29145662,0.38479113,0.34811363
"32",0.2261973,0.20981571,0.25569513,0.27923709,0.29779076,0.31715716,0.45921437,0.37446476,0.15137013,0.14098549,0.22386463,0.19048637,0.2708428,0.19960439,0.29066045,0.20958134,0.13611643,0.12125565,0.20973136,0.1571922,0.23030145,0.16656327,0.3789133,0.22120995,0.16357797,0.15025712,0.20419963,0.17760809,0.24707851,0.20177355,0.36759785,0.24137572,0.2562598,0.24137572,0.31400254,0.32273003,0.34054534,0.31904713,0.61653976,0.54375707
"33",0.21430891,0.20781613,0.22466237,0.23198308,0.30387911,0.30780902,0.43114063,0.38459197,0.15170692,0.14000796,0.19982766,0.17203167,0.26037721,0.20778177,0.59032248,0.33398817,0.13680588,0.12120581,0.16985211,0.13703934,0.28577542,0.18429807,0.33519846,0.20108918,0.15109295,0.13654858,0.19045394,0.1614887,0.25294139,0.19952391,0.36377887,0.23135175,0.2468239,0.23135175,0.2569774,0.25384994,0.29619615,0.2975918,0.48081915,0.36005227
"34",0.27817557,0.25671484,0.26701431,0.2762839,0.32373391,0.32196483,0.3207295,0.29263625,0.16639746,0.14881563,0.20596829,0.17919864,0.19734305,0.16990087,0.48720503,0.29695297,0.14004692,0.12333825,0.16888518,0.1385251,0.24077006,0.17169745,0.37518177,0.22311955,0.16705249,0.15341169,0.18239547,0.16203449,0.27235164,0.22207388,0.58738253,0.25219882,0.24985907,0.25219882,0.25739889,0.26458989,0.27884857,0.28587016,0.42025369,0.37406887
"35",0.24113241,0.24988139,0.24930299,0.26664385,0.35165126,0.34030504,0.32534931,0.27583371,0.16744168,0.15632021,0.18861813,0.17357647,0.25144713,0.19276338,0.3710755,0.24344628,0.13458531,0.12062915,0.17736557,0.14217483,0.24542172,0.17177631,0.5043205,0.25450752,0.17187506,0.15823992,0.21186115,0.18006917,0.28905189,0.22236233,0.41850197,0.30105197,0.28778967,0.30105197,0.23522605,0.23521065,0.32213058,0.33186627,0.63028958,0.49547659
"36",0.23807557,0.24214513,0.22974141,0.23903103,0.32805176,0.3453932,0.48794945,0.42490157,0.15039513,0.1379065,0.1895476,0.17004105,0.23307253,0.1834853,0.34152029,0.24629823,0.14060802,0.12300124,0.18193115,0.14257434,0.2194102,0.15940095,0.4013759,0.22806093,0.15915354,0.14438958,0.17525868,0.15162455,0.26437546,0.21339004,0.3783281,0.24126732,0.24405405,0.24126732,0.26317911,0.27060393,0.27622013,0.28635482,0.53272817,0.43411031
"37",0.20937711,0.20454903,0.25774496,0.26647608,0.28055237,0.27582659,0.37461056,0.29532291,0.15633865,0.14237468,0.22157613,0.18362294,0.22812181,0.17777506,0.52283314,0.29613128,0.15015357,0.1278712,0.16764356,0.13603207,0.24914279,0.17339148,0.42423874,0.22995749,0.17939784,0.16648788,0.17343852,0.15563971,0.30411548,0.26066264,0.35886549,0.27310947,0.26294825,0.27310947,0.23740154,0.24353189,0.29979845,0.32019075,0.53241817,0.47890093
"38",0.24602487,0.25390929,0.26705059,0.28628741,0.43978434,0.47393657,0.47660909,0.4445232,0.18287727,0.16313435,0.2125453,0.19251833,0.3021682,0.24824837,0.37338951,0.25319676,0.1439565,0.12481313,0.16468086,0.13579861,0.20517666,0.15472914,0.35387316,0.21286893,0.1493706,0.13531674,0.17173156,0.1522449,0.28543344,0.23024813,0.35422398,0.23862326,0.23662859,0.23862326,0.23464976,0.23632811,0.35107237,0.35527088,0.43134731,0.37443557
"39",0.21168656,0.19691669,0.21633109,0.20976915,0.32103936,0.30303181,0.72149953,0.52567996,0.15321546,0.13883329,0.19033827,0.15961772,0.18162426,0.15487465,0.34609964,0.22649927,0.13159593,0.11881461,0.18609094,0.14472224,0.2821688,0.18282226,0.33892266,0.20517099,0.15787365,0.1490531,0.19015105,0.17610033,0.30525943,0.24137737,0.50596731,0.21695114,0.22507604,0.21695114,0.20784304,0.21168066,0.34902321,0.38792127,0.46017549,0.40717652
"40",0.27825468,0.30461182,0.25597351,0.26465382,0.26302734,0.26239266,0.35279092,0.31077268,0.15491371,0.1406041,0.23403159,0.19547381,0.2657227,0.19529086,0.41741951,0.24579075,0.14933682,0.12701255,0.18030724,0.1385012,0.22928241,0.15755756,0.46818662,0.2264819,0.16032437,0.14633506,0.18728998,0.16901354,0.20403183,0.16625571,0.30859702,0.26377774,0.26238662,0.26377774,0.23988687,0.2495958,0.29320427,0.32407387,0.46243358,0.38449994
"41",0.23305839,0.21816703,0.23669305,0.24225962,0.21737394,0.2161967,0.50066045,0.41580742,0.17134107,0.15581399,0.19150998,0.17211866,0.2780073,0.21345255,0.41344795,0.27150506,0.15586944,0.12975983,0.18212355,0.14212213,0.23838714,0.16884116,0.31208414,0.19365819,0.15865851,0.14513382,0.191725,0.1678276,0.22783359,0.18760298,0.46954222,0.22669774,0.2326446,0.22669774,0.22183307,0.21733579,0.31661139,0.30265003,0.42873476,0.3425575
"42",0.23617335,0.23983844,0.26880992,0.28807904,0.33207313,0.35669179,0.41725779,0.37250591,0.15731615,0.1449572,0.18865696,0.17011252,0.25092502,0.20008872,0.5294658,0.33146603,0.13026533,0.11813899,0.20730628,0.1538004,0.2732007,0.18097935,0.39618491,0.22084559,0.14561644,0.13432207,0.20371218,0.1820971,0.29132632,0.22011742,0.39056393,0.19849054,0.21423672,0.19849054,0.2208032,0.22242092,0.29594174,0.30702137,0.5519199,0.46992651
"43",0.23833912,0.23731309,0.29085251,0.30614599,0.25969523,0.25778988,0.48598066,0.43024138,0.15217513,0.13915633,0.18339417,0.1633485,0.31546532,0.24915294,0.63256415,0.40686032,0.13100094,0.11819658,0.18756792,0.14593064,0.20450259,0.15341615,0.3272256,0.19878008,0.14514147,0.13385354,0.22509035,0.1845814,0.18628508,0.15948532,0.57661757,0.20774235,0.22010851,0.20774235,0.20672201,0.20522376,0.26169637,0.26060694,0.42390669,0.35669187
"44",0.24756158,0.2484106,0.21786967,0.22534384,0.25653882,0.25729302,0.5038118,0.44409583,0.15822372,0.15034986,0.19569688,0.17321634,0.22883379,0.18941078,0.52867178,0.3261021,0.1403598,0.12436033,0.17275467,0.14082855,0.21612682,0.16161994,0.52825722,0.27068174,0.16555567,0.15048206,0.20817068,0.1815573,0.23333836,0.19963957,0.55372707,0.2929043,0.28260769,0.2929043,0.27614592,0.28337647,0.3689156,0.36386956,0.5621845,0.46191297
"45",0.22718012,0.23708292,0.25032434,0.27131456,0.25220303,0.26526361,0.58732776,0.51528811,0.16146689,0.14969131,0.19219512,0.17497239,0.24449721,0.19823133,0.36393821,0.25177778,0.13624614,0.12038672,0.15240269,0.12801528,0.2355853,0.164338,0.37417296,0.21124896,0.1701894,0.15350509,0.21457661,0.18124503,0.23181768,0.19995467,0.31028044,0.26171435,0.27160493,0.26171435,0.26656281,0.26932418,0.28039151,0.27831985,0.52175878,0.4552925
"46",0.240903,0.22892795,0.28624545,0.31723444,0.28239211,0.29905201,0.45744367,0.41583021,0.15371911,0.13998377,0.18028833,0.1627973,0.25272244,0.19996124,0.40527665,0.28730537,0.1408177,0.12203664,0.16212544,0.13212112,0.25051616,0.17095229,0.31276245,0.19201685,0.16821426,0.14482518,0.17721997,0.15279518,0.30336411,0.22823794,0.28058955,0.22055546,0.23495014,0.22055546,0.24200917,0.23838148,0.27957714,0.27196464,0.34842287,0.27646392
"47",0.23097986,0.23652592,0.22474601,0.23081476,0.30326384,0.30392944,0.51380512,0.42427378,0.16452388,0.15203208,0.1830769,0.16284988,0.26204102,0.21346819,0.43827391,0.26538724,0.13828832,0.12258894,0.16490917,0.13594873,0.21429219,0.15884706,0.3881502,0.2217442,0.17846103,0.16324858,0.21083342,0.19229632,0.22667008,0.19900809,0.36062843,0.22317032,0.23177591,0.22317032,0.27571844,0.29026309,0.426673,0.45617024,0.65539456,0.57072224
