"","intercept_1","slope_1","intercept_2","slope_2","intercept_3","slope_3","intercept_4","slope_4","intercept_5","slope_5","intercept_6","slope_6","intercept_7","slope_7","intercept_8","slope_8","intercept_9","slope_9","intercept_10","slope_10","intercept_11","slope_11","intercept_12","slope_12","intercept_13","slope_13","intercept_14","slope_14","intercept_15","slope_15","intercept_16","slope_16","intercept_17","slope_17","intercept_18","slope_18","intercept_19","slope_19","intercept_20","slope_20"
"23",0.236796,0.255077,0.433022,0.422247,0.298293,0.31876,0.367662,0.451412,0.149297,0.18514,0.197053,0.236852,0.208432,0.272637,0.249781,0.405122,0.134155,0.156619,0.138622,0.179221,0.185091,0.287383,0.211707,0.351889,0.166027,0.169923,0.201392,0.248128,0.191895,0.245511,0.268232,0.409985,0.240054,0.250924,0.250977,0.27864,0.571857,0.518849,0.435897,0.545237
"24",0.268389,0.269717,0.282659,0.259794,0.472624,0.449773,0.628156,0.696633,0.150626,0.169808,0.187356,0.202555,0.229239,0.277989,0.307693,0.460709,0.127997,0.140736,0.15542,0.199484,0.177573,0.274893,0.248313,0.467157,0.153832,0.175872,0.167779,0.203101,0.2395,0.312411,0.277957,0.43688,0.273546,0.359168,0.317505,0.294313,0.352735,0.380565,0.41428,0.487191
"25",0.204743,0.197428,0.269986,0.27682,0.300466,0.302844,0.422736,0.539507,0.165076,0.191956,0.182586,0.214691,0.175543,0.206364,0.254427,0.34718,0.132563,0.152366,0.149302,0.194789,0.179678,0.261602,0.226234,0.424257,0.150423,0.165232,0.177659,0.214444,0.212783,0.278171,0.357675,0.690746,0.248187,0.345637,0.320422,0.270104,0.591604,0.610682,0.436373,0.542618
"26",0.23915,0.238248,0.247153,0.264483,0.321117,0.316027,0.955126,1.2023,0.164015,0.179246,0.199665,0.257492,0.178502,0.228185,0.252234,0.350988,0.132262,0.155119,0.159408,0.222348,0.16498,0.220852,0.210263,0.344556,0.162232,0.184697,0.145317,0.176346,0.203366,0.235258,0.244668,0.374639,0.249879,0.278248,0.242375,0.233426,0.27803,0.283757,0.609557,0.839742
"27",0.223313,0.243307,0.446359,0.43687,0.448669,0.481542,0.479147,0.588836,0.146416,0.160997,0.210853,0.255681,0.228181,0.33127,0.289063,0.46301,0.132725,0.153151,0.148989,0.179886,0.179553,0.256577,0.253133,0.451405,0.147317,0.160607,0.162614,0.170039,0.242421,0.299098,0.299729,0.45282,0.239279,0.319583,0.239661,0.233519,0.335889,0.313547,0.369146,0.417882
"28",0.28417,0.369638,0.300448,0.284503,0.273612,0.276952,0.425376,0.566544,0.155999,0.166874,0.179427,0.197879,0.206733,0.26955,0.285663,0.451361,0.12898,0.153426,0.14539,0.181329,0.157382,0.210125,0.246794,0.491025,0.173244,0.191412,0.160283,0.172756,0.25499,0.321422,0.281665,0.430238,0.281708,0.289938,0.240732,0.23051,0.30957,0.32751,0.349268,0.412393
"29",0.327759,0.288419,0.254442,0.245575,0.462908,0.446278,0.423874,0.462787,0.167377,0.182958,0.170116,0.180996,0.22476,0.280962,0.322834,0.600334,0.134726,0.162406,0.141352,0.169819,0.192916,0.302669,0.256284,0.501398,0.141173,0.165551,0.173577,0.22315,0.212681,0.28022,0.370595,0.656133,0.388096,0.369968,0.243264,0.231425,0.254243,0.236056,0.358858,0.447787
"30",0.23289,0.237358,0.231186,0.245622,0.306221,0.3286,0.35672,0.416599,0.167992,0.178561,0.207362,0.243438,0.209944,0.253097,0.372979,0.615899,0.127522,0.142438,0.149183,0.193171,0.16147,0.217823,0.275921,0.534377,0.162221,0.192393,0.150484,0.183973,0.243903,0.314496,0.237751,0.303766,0.232594,0.248686,0.352152,0.331874,0.456407,0.443048,0.686079,0.906716
"31",0.367882,0.34055,0.320658,0.30677,0.513243,0.481428,0.419154,0.504286,0.159004,0.178051,0.218947,0.256571,0.227122,0.279179,0.258912,0.390704,0.131364,0.152695,0.152882,0.202828,0.191036,0.288795,0.253099,0.4647,0.162697,0.173177,0.182683,0.212628,0.203723,0.237288,0.289972,0.508408,0.221183,0.218607,0.23195,0.212259,0.297272,0.307965,0.585616,0.828462
"32",0.224019,0.268479,0.333786,0.318632,0.274242,0.252954,0.653616,0.711751,0.186025,0.21315,0.18505,0.205949,0.202574,0.255644,0.374324,0.645233,0.131904,0.15147,0.162299,0.214035,0.189719,0.272253,0.195457,0.310784,0.163735,0.184417,0.165766,0.190306,0.209821,0.261294,0.277647,0.462686,0.35129,0.325921,0.2394,0.229141,0.335908,0.382357,0.537319,0.725902
