"Item","Parameter","FlexMIRT_Mean","MIRT_Mean","Mplus_Mean","Ratio_MEAN_Flex_MIRT","Ratio_MEAN_Flex_Mplus","Ratio_MEAN_MIRT_Mplus","FlexMIRT_SE","MIRT_SE","Mplus_SE","FlexMIRT_RMSD","MIRT_RMSD","Mplus_RMSD","FlexMIRT_VAR","MIRT_VAR","Mplus_VAR"
17,"Intercept",0.258833131,0.162691163084923,0.24321784414,0.903325131916003,1.18723046972699,1.31428920527076,0.037646107995609,0.00991065152599212,0.0242979765951471,0.0376272802334933,0.0103477764256354,0.0242858245680829,0.00141722944721706,9.822101366965e-05,0.000590391666618315
18,"Intercept",0.297435378,0.250015576224556,0.26215520693,1.50273432988693,1.34181273679839,0.892914143313248,0.0600905444861649,0.0352627930016529,0.0360327666384864,0.0600604916988457,0.0382357061304376,0.0360147457488179,0.00361087353664376,0.00124346457027742,0.00129836027162362
19,"Intercept",0.335651747,0.24343698366257,0.30732077106,1.39921445352572,1.1337137238704,0.810250152157652,0.0724602781049454,0.0246212945096242,0.0537560380535497,0.0724240389038266,0.0246356895922768,0.0537291533116563,0.00525049190304604,0.000606208143329651,0.00288971162721469
20,"Intercept",0.449161429,0.308025190225157,0.48427894862,1.27196190936689,1.06462824780259,0.836996957190723,0.148345026858026,0.0558419796836171,0.12706481180552,0.148270835792191,0.0578126800936409,0.127001263508569,0.0220062469935085,0.00311832669498551,0.0161454663991722
1,"Slope",0.271781162,0.27553932985932,0.24160572836,0.945345717543753,1.13295084110354,1.19845133910082,0.0435585054682594,0.0474709833015906,0.0366208166835148,0.043536720767988,0.0485976263335441,0.0366025016952807,0.00189734339862838,0.00225349425561989,0.00134108421456759
2,"Slope",0.287078792,0.424791711233285,0.27512904903,2.28252049052515,0.930311073927345,0.407580601264747,0.0468473902858134,0.143928167656277,0.0462757045104372,0.046823960731817,0.14673690199322,0.0462525608708249,0.00219467797659133,0.0207153174448933,0.0021414408279373
3,"Slope",0.33307192,0.171104250392914,0.31254352015,1.09906515508425,0.927857646331834,0.84422442294671,0.0650754623212,0.0145483981911208,0.0595130309753214,0.0650429164515368,0.0146271171065228,0.0594832670169829,0.00423481579631792,0.000211655889927408,0.00354180085586956
4,"Slope",0.542497045,0.27095454014963,0.41807367218,1.42108311429732,0.672506711932555,0.473235312675633,0.212638000596621,0.0481138393773931,0.121627685830773,0.212531655003275,0.0489872099752571,0.12156685677679,0.0452149192977287,0.00231494153963358,0.0147932939605491
5,"Slope",0.177474591,0.141319749426752,0.14926043584,0.475606337164333,0.837646593793055,1.76121831930853,0.014201519096363,0.00754883268554924,0.00921550498501787,0.0141944165607368,0.00771147112564005,0.00921089608001091,0.000201683144644363,5.69848749144166e-05,8.49255321288892e-05
6,"Slope",0.211801181,0.223310844189106,0.17106196369,0.75644642704388,0.575677635922928,0.76102895769185,0.0219539228719996,0.0247659305412174,0.0144128764343569,0.0219429431649503,0.0253033342136585,0.0144056681936288,0.000481974729469709,0.000613351315572403,0.000207731007112041
7,"Slope",0.267455865,0.170640457403321,0.19999722069,0.723304834690754,0.928276691494439,1.28338239559994,0.0378162344761973,0.0151177901143119,0.0222994571623949,0.0377973216295649,0.0154186299528692,0.022288304644987,0.00143006758995873,0.000228547577940387,0.000497265789737487
8,"Slope",0.454059171,0.272694693509549,0.27024815609,1.22606013553351,0.670544882788338,0.546910272469265,0.112710261183602,0.0486722838851619,0.0458575135301515,0.112653891957179,0.0493519119468652,0.0458345790383294,0.0127036029760758,0.00236899121859779,0.00210291154716803
9,"Slope",0.152558086,0.276347856446452,0.123134456,1.18966738989435,1.13457741878619,0.953692963616452,0.00898258515031094,0.0508807180699037,0.00372792360924442,0.00897809273435088,0.0521065465203262,0.00372605918121621,8.06868359825866e-05,0.00258884747130902,1.3897414436362e-05
10,"Slope",0.192131164,0.418149474869129,0.14129225772,1.45819706716739,0.927484934622761,0.636049101665279,0.0180053264808163,0.125569447797675,0.00749288942430286,0.0179963215657841,0.126583864278823,0.00748914204251093,0.000324191781680785,0.0157676862202131,5.61433919248296e-05
11,"Slope",0.249446071,0.261726044634321,0.16518166297,0.675810719485399,1.04343322892341,1.54397259297387,0.0323331285202014,0.0339359643621057,0.0123960617301884,0.0323169579122782,0.033942184935251,0.0123898621490404,0.00104543119990386,0.00115164967718611,0.000153662346418642
12,"Slope",0.429499152,0.499553089106331,0.22307070277,2.00216997545203,1.29761111760807,0.648102375681221,0.0938672297262968,0.172954688508933,0.0241852801872841,0.0938202843721596,0.177880554542259,0.0241731845225179,0.00881105681648939,0.029913324277222,0.000584927777737438
13,"Slope",0.176939436,0.195875692758267,0.14903545732,0.948459004617979,1.23815473896832,1.30543832990127,0.0145851082444528,0.0181716663061988,0.00939579382476966,0.01457781386628,0.0196623733258886,0.00939109475279544,0.000212725382502406,0.00033020945634384,8.82809415975796e-05
14,"Slope",0.210352701,0.424763807414425,0.17061482831,1.66508253298336,1.68015640724219,1.00905292918533,0.0226302496206624,0.0996359157034372,0.0150019240852921,0.0226189316656556,0.0998065987746949,0.0149944212470707,0.000512128197893493,0.00992731569806245,0.000225057726260866
15,"Slope",0.268409012,0.178613748725762,0.20003462826,0.459479625222853,1.35981381499861,2.95946488234181,0.0396373477676535,0.016020840617375,0.0234401959647105,0.0396175241366224,0.0163665472429989,0.0234284729352378,0.00157111933805391,0.000256667334087334,0.000549442786864033
16,"Slope",0.457035076,0.404484248456617,0.24076081047,0.859766782282033,1.92539471417204,2.23943836148399,0.110132823640772,0.0843104819699797,0.0325475429951578,0.110077743455461,0.0843092690680421,0.0325312651531819,0.0121292388430893,0.00710825737001028,0.00105934255502165
17,"Slope",0.272953835,0.195076483316917,0.24076081047,0.495222750451446,1.23290984191478,2.48960662811,0.0461612413559395,0.0190378446825477,0.0325475429951578,0.0461381549622195,0.0190584034847922,0.0325312651531819,0.0021308602035213,0.00036243953015681,0.00105934255502165
18,"Slope",0.288914801,0.428378464387286,0.27588158553,1.12992057847469,1.89829513826524,1.68002528180149,0.052283814634877,0.097820112282,0.0494554811325857,0.0522576661888129,0.0977981370157888,0.0494307472069914,0.00273359727277417,0.00956877436686308,0.00244584461405554
19,"Slope",0.334074811,0.262645295067273,0.31379480273,0.674438201306963,1.04724206381866,1.55276207929689,0.0676147564221399,0.0370997779819446,0.0617963582358204,0.0675809405878557,0.0389457570424344,0.061765452328293,0.0045717552860253,0.00137639352630958,0.00381878989120985
20,"Slope",0.534039203,0.491318078581203,0.41255152489,1.08695207093165,1.29447880029626,1.19092537280575,0.177458887765659,0.148135157125084,0.107313133533453,0.177370136128317,0.148373949274709,0.107259463545834,0.0314916568470248,0.0219440247764732,0.0115161086287688
